id,encontrada,created_at,updated_at,palabra_clave_id,propiedad_id
647,False,2025-09-16 16:05:11.436110+00:00,2025-09-16 16:05:11.436110+00:00,104,385
648,True,2025-09-16 16:05:12.355891+00:00,2025-09-16 16:05:12.355891+00:00,105,386
649,True,2025-09-16 16:05:12.360865+00:00,2025-09-16 16:05:12.360865+00:00,107,386
650,True,2025-09-16 16:05:12.366890+00:00,2025-09-16 16:05:12.366890+00:00,104,386
651,True,2025-09-16 16:05:13.332826+00:00,2025-09-16 16:05:13.332826+00:00,105,387
652,True,2025-09-16 16:05:13.349106+00:00,2025-09-16 16:05:13.349106+00:00,107,387
653,False,2025-09-16 16:05:13.358149+00:00,2025-09-16 16:05:13.358149+00:00,104,387
654,True,2025-09-16 16:05:14.650626+00:00,2025-09-16 16:05:14.650626+00:00,105,388
655,True,2025-09-16 16:05:14.665623+00:00,2025-09-16 16:05:14.665623+00:00,107,388
656,True,2025-09-16 16:05:14.672624+00:00,2025-09-16 16:05:14.672624+00:00,104,388
657,True,2025-09-16 16:05:16.287262+00:00,2025-09-16 16:05:16.287262+00:00,105,389
658,True,2025-09-16 16:05:16.293270+00:00,2025-09-16 16:05:16.294269+00:00,107,389
659,False,2025-09-16 16:05:16.302269+00:00,2025-09-16 16:05:16.302269+00:00,104,389
660,True,2025-09-16 16:05:17.961452+00:00,2025-09-16 16:05:17.961452+00:00,105,390
661,True,2025-09-16 16:05:18.003042+00:00,2025-09-16 16:05:18.003042+00:00,107,390
662,False,2025-09-16 16:05:18.012039+00:00,2025-09-16 16:05:18.012039+00:00,104,390
663,True,2025-09-16 16:05:19.550863+00:00,2025-09-16 16:05:19.550863+00:00,105,391
664,True,2025-09-16 16:05:19.574206+00:00,2025-09-16 16:05:19.574206+00:00,107,391
665,False,2025-09-16 16:05:19.590326+00:00,2025-09-16 16:05:19.590326+00:00,104,391
666,True,2025-09-16 16:05:20.802848+00:00,2025-09-16 16:05:20.802848+00:00,105,392
667,True,2025-09-16 16:05:20.808806+00:00,2025-09-16 16:05:20.808806+00:00,107,392
668,False,2025-09-16 16:05:20.814699+00:00,2025-09-16 16:05:20.814699+00:00,104,392
669,True,2025-09-16 16:05:21.735954+00:00,2025-09-16 16:05:21.735954+00:00,105,393
670,True,2025-09-16 16:05:21.742117+00:00,2025-09-16 16:05:21.742117+00:00,107,393
671,True,2025-09-16 16:05:21.747114+00:00,2025-09-16 16:05:21.747114+00:00,104,393
672,True,2025-09-16 16:05:22.927526+00:00,2025-09-16 16:05:22.927526+00:00,105,394
673,True,2025-09-16 16:05:22.934525+00:00,2025-09-16 16:05:22.934525+00:00,107,394
674,False,2025-09-16 16:05:22.939530+00:00,2025-09-16 16:05:22.939530+00:00,104,394
675,True,2025-09-16 16:05:24.218400+00:00,2025-09-16 16:05:24.218400+00:00,105,395
676,True,2025-09-16 16:05:24.224000+00:00,2025-09-16 16:05:24.224000+00:00,107,395
677,False,2025-09-16 16:05:24.229004+00:00,2025-09-16 16:05:24.229004+00:00,104,395
678,True,2025-09-16 16:05:25.469297+00:00,2025-09-16 16:05:25.469297+00:00,105,396
679,True,2025-09-16 16:05:25.481884+00:00,2025-09-16 16:05:25.481884+00:00,107,396
680,True,2025-09-16 16:05:25.487421+00:00,2025-09-16 16:05:25.487421+00:00,104,396
681,True,2025-09-16 16:05:26.821017+00:00,2025-09-16 16:05:26.821017+00:00,105,397
682,True,2025-09-16 16:05:26.826258+00:00,2025-09-16 16:05:26.826258+00:00,107,397
683,False,2025-09-16 16:05:26.831260+00:00,2025-09-16 16:05:26.831260+00:00,104,397
684,True,2025-09-16 16:05:28.046677+00:00,2025-09-16 16:05:28.046677+00:00,105,398
685,True,2025-09-16 16:05:28.057118+00:00,2025-09-16 16:05:28.057118+00:00,107,398
686,False,2025-09-16 16:05:28.064121+00:00,2025-09-16 16:05:28.064121+00:00,104,398
687,True,2025-09-16 16:05:29.191455+00:00,2025-09-16 16:05:29.191455+00:00,105,399
688,True,2025-09-16 16:05:29.200033+00:00,2025-09-16 16:05:29.204273+00:00,107,399
689,True,2025-09-16 16:05:29.209297+00:00,2025-09-16 16:05:29.209297+00:00,104,399
690,True,2025-09-16 16:05:30.240206+00:00,2025-09-16 16:05:30.240206+00:00,105,400
691,True,2025-09-16 16:05:30.247626+00:00,2025-09-16 16:05:30.247626+00:00,107,400
692,True,2025-09-16 16:05:30.258628+00:00,2025-09-16 16:05:30.258628+00:00,104,400
